record_id,timestamp,client_id,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,entropy,signature_known,attack_type,is_zero_day,label_malicious,poisoned_flag,poison_type,model_update_delta,gradient_stat,anomaly_score,feature_1,feature_2,feature_3,seen_in_train
rec_03598,2025-05-02 09:20:17,client_050,189.87.181.65,230.108.19.109,19859,443,UDP,1059,2.0462,1,benign,0,0,0,,1.7811,2.0273,0.0263,0.425958,7.09108,-0.002997,1
rec_03239,2025-08-12 13:22:39,client_090,8.74.160.145,139.203.87.31,47038,443,UDP,730,2.3745,1,benign,0,0,0,,8.3453,7.4139,0.2595,0.406681,6.091676,0.180817,1
rec_01511,2025-02-05 04:49:01,client_090,81.12.128.70,212.189.62.244,36131,3306,UDP,843,5.0575,1,benign,0,0,0,,5.6473,3.857,0.5726,0.629377,7.027839,0.746683,1
rec_02762,2025-04-26 14:33:20,client_098,237.243.18.93,40.74.201.46,12454,5000,ICMP,68,2.2684,0,benign,0,0,0,,1.1233,1.4898,0.7219,0.285583,3.990378,0.745857,1
rec_01098,2025-08-22 01:01:35,client_099,218.137.106.179,139.33.186.46,14825,443,TCP,3604,5.812,1,benign,0,0,0,,5.167,4.6255,1.5876,1.306213,8.190449,1.602782,1
rec_02671,2025-07-12 02:51:57,client_074,56.12.224.220,19.245.203.50,4931,443,TCP,4907,5.9886,1,benign,0,0,0,,4.3385,5.0338,1.7781,1.590962,9.221202,1.804912,1
rec_02703,2025-03-10 10:35:18,client_082,213.181.105.104,118.164.91.84,60422,3306,TCP,1424,5.2385,1,backdoor_trigger,0,1,1,high_update_backdoor,59.1801,59.2966,1.5008,0.813736,7.838779,1.430904,1
rec_02252,2025-08-26 09:58:02,client_017,128.183.243.185,89.45.202.81,24496,8080,TCP,939,4.5783,1,benign,0,0,0,,3.9023,3.6866,0.9577,0.633845,7.317776,0.903291,1
rec_01212,2025-05-07 13:35:49,client_004,76.137.164.233,9.12.139.113,43847,80,TCP,3701,5.6718,1,benign,0,0,0,,4.513,4.2928,1.5895,1.309532,7.528624,1.577199,1
rec_00502,2025-06-26 22:28:58,client_092,46.136.10.201,30.232.65.24,34022,443,TCP,1319,6.2704,1,benign,0,0,0,,1.0963,1.1397,0.7974,0.872345,7.289203,0.81362,1
rec_01012,2025-06-13 18:33:53,client_056,43.112.115.27,134.139.166.118,18105,53,UDP,233,1.8354,1,benign,0,0,0,,4.9738,5.1109,0.0,0.233399,5.478805,-0.13964,1
rec_00215,2025-01-13 22:50:43,client_074,223.206.49.101,105.104.251.68,12637,443,TCP,3159,6.3202,1,benign,0,0,0,,2.8264,2.0145,1.4636,1.270095,7.758512,1.526633,1
rec_03236,2025-03-06 12:14:54,client_015,167.94.154.71,219.63.105.205,14956,1900,ICMP,786,4.1209,1,benign,0,0,0,,1.8315,2.0799,0.7667,0.568583,6.363672,0.968168,1
rec_02863,2025-04-09 00:27:45,client_025,215.246.36.117,27.233.209.50,17112,8080,UDP,966,2.91,1,benign,0,0,0,,2.6484,2.3784,0.3401,0.493993,6.838207,0.207832,1
rec_00870,2025-04-15 09:14:33,client_021,221.152.111.183,140.16.53.182,39294,8080,UDP,142,4.1182,1,benign,0,0,0,,4.6788,3.7059,0.3013,0.434899,5.244572,0.308628,1
rec_01765,2025-02-21 00:49:12,client_100,72.3.28.125,38.100.164.211,30869,80,ICMP,747,3.4712,1,known_malware,0,1,0,,5.2412,5.0423,0.2678,0.521122,6.614801,0.133535,1
rec_00015,2025-03-11 16:11:17,client_041,253.66.19.211,109.68.114.194,37696,80,TCP,168,4.4591,0,benign,0,0,0,,1.0968,1.1557,0.9221,0.483754,5.144624,0.969111,1
rec_02862,2025-07-28 17:25:31,client_064,174.184.9.237,174.45.87.141,40218,1900,TCP,3939,6.3033,1,known_malware,0,1,0,,3.5703,3.5015,1.7021,1.417154,8.619769,1.751762,1
rec_02609,2025-09-07 01:38:33,client_019,194.218.142.251,38.248.145.27,7837,443,TCP,3674,4.9146,1,benign,0,0,0,,6.3176,6.9987,1.3208,1.203937,8.072065,1.582114,1
rec_01035,2025-08-22 04:19:14,client_064,220.181.107.208,129.17.225.183,31195,8080,TCP,5306,5.9462,1,benign,0,0,0,,9.6396,11.9392,1.8221,1.613108,8.24442,1.749161,1
rec_02628,2025-04-03 09:37:19,client_060,47.14.176.55,113.100.170.170,49257,3306,ICMP,951,1.7644,1,benign,0,0,0,,1.191,1.1816,0.1732,0.370824,6.556525,0.131405,1
rec_02261,2025-05-01 17:40:45,client_030,37.142.37.8,70.93.224.201,62288,3389,ICMP,540,3.9094,1,benign,0,0,0,,4.3469,4.573,0.9139,0.474193,6.93872,0.844722,1
rec_02115,2025-02-25 01:06:16,client_083,55.2.65.223,191.229.129.51,15325,5000,ICMP,78,3.3871,1,benign,0,0,0,,0.7467,0.8288,0.2211,0.363459,4.223232,0.110071,1
rec_02741,2025-02-28 04:40:35,client_045,7.142.134.213,178.35.204.189,56402,8080,UDP,538,1.4762,1,benign,0,0,0,,7.8899,9.8995,0.0,0.277024,6.31116,0.100138,1
rec_02119,2025-03-11 11:18:16,client_079,62.85.208.134,12.69.254.73,57905,443,TCP,4127,5.7295,1,benign,0,0,0,,8.9505,8.1527,1.3634,1.382762,8.134361,1.38893,1
rec_00904,2025-03-02 03:27:47,client_043,72.70.30.103,78.13.184.124,50277,80,ICMP,55,2.5537,1,benign,0,0,0,,4.2259,3.1784,0.0813,0.270737,4.019848,-0.031113,1
rec_00643,2025-08-04 20:10:19,client_025,198.100.216.204,36.234.54.47,4184,5000,UDP,929,3.2264,0,benign,0,0,0,,2.5447,3.5122,1.2793,0.498418,6.692039,1.355784,1
rec_01570,2025-07-26 07:15:59,client_017,192.232.187.93,70.201.52.252,4188,80,TCP,1027,4.8667,0,benign,0,0,0,,6.4047,6.6252,1.3278,0.675403,6.662909,1.240221,1
rec_01124,2025-08-03 00:54:06,client_063,10.80.192.64,137.67.144.217,19298,21,UDP,58,2.9042,1,benign,0,0,0,,5.2066,5.5693,0.2199,0.304121,4.046129,0.238829,1
rec_01968,2025-04-19 06:12:06,client_036,105.132.228.48,134.203.221.122,3836,80,TCP,129,4.5872,1,benign,0,0,0,,3.1281,2.7129,0.1635,0.512239,4.989504,0.284208,1
rec_02207,2025-06-20 09:41:32,client_041,1.17.16.9,84.34.71.175,12651,80,UDP,177,3.5249,1,benign,0,0,0,,2.7737,2.7695,0.1845,0.390141,4.853882,0.064751,1
rec_01787,2025-08-04 19:24:46,client_069,104.184.14.134,82.14.81.207,12191,443,TCP,2970,5.5511,0,zero_day_exploit,1,1,0,,5.3774,5.9666,3.0998,1.165672,7.567213,3.104157,0
rec_01449,2025-05-11 20:20:31,client_075,79.86.251.134,142.144.3.137,53863,3306,UDP,848,4.2213,0,known_malware,0,1,0,,10.1696,12.084,0.8847,0.5718,6.667121,0.818859,1
rec_03848,2025-03-18 14:57:21,client_058,15.79.134.171,117.251.73.120,59243,3306,ICMP,85,2.7189,1,benign,0,0,0,,0.9984,1.1444,0.225,0.280756,4.601529,0.343215,0
rec_03057,2025-07-18 19:44:43,client_023,42.116.248.109,125.188.151.103,2210,8080,ICMP,21,4.4591,1,benign,0,0,0,,0.823,1.0744,0.292,0.437334,3.090321,0.218104,1
rec_01107,2025-04-13 20:42:04,client_057,9.25.217.225,144.100.217.41,54668,80,TCP,1009,5.0656,1,benign,0,0,0,,4.2215,5.0233,0.6247,0.691275,7.44539,0.496728,1
rec_03165,2025-07-31 18:49:58,client_028,37.16.37.76,119.122.65.131,8410,3306,ICMP,40,3.3553,1,benign,0,0,0,,2.9582,2.9796,0.1837,0.372707,3.599973,0.34628,1
rec_02805,2025-03-16 12:45:22,client_050,178.254.166.183,179.133.169.62,51889,80,UDP,731,4.15,1,benign,0,0,0,,6.4009,5.8956,0.3598,0.567992,6.660224,0.383747,1
rec_03385,2025-07-27 15:10:05,client_093,8.225.123.38,133.14.25.44,18231,8080,ICMP,77,2.8246,1,benign,0,0,0,,5.4661,3.6154,0.2146,0.293492,4.598476,0.198258,1
rec_02630,2025-04-21 11:44:23,client_073,91.137.101.37,131.239.236.90,14966,8080,ICMP,71,3.1293,1,benign,0,0,0,,0.7193,0.7643,0.3244,0.349947,3.928882,0.342752,1
rec_02321,2025-07-01 08:38:54,client_093,160.175.238.47,5.197.206.198,24962,5000,ICMP,58,2.8848,0,benign,0,0,0,,0.5961,0.6446,0.9447,0.294098,3.81377,0.926539,1
rec_01152,2025-03-28 15:49:05,client_068,91.100.173.17,40.202.18.175,50720,443,ICMP,49,3.0615,1,benign,0,0,0,,4.445,4.8447,0.1067,0.332026,3.857911,0.166145,1
rec_02390,2025-01-12 05:47:28,client_071,194.206.56.230,220.216.59.156,8420,443,TCP,200,3.8772,0,benign,0,0,0,,6.36,8.027,0.9139,0.462193,4.967526,0.901753,1
rec_02308,2025-01-27 21:08:43,client_043,237.82.177.155,213.92.38.120,20427,80,ICMP,52,3.6144,1,benign,0,0,0,,2.7781,2.895,0.0,0.362643,4.058672,-0.004192,1
rec_00545,2025-08-14 19:51:52,client_041,90.159.44.188,43.57.138.37,34586,21,UDP,199,3.7471,1,benign,0,0,0,,3.0509,3.3819,0.3573,0.439379,5.028744,0.311965,1
rec_02296,2025-01-18 05:53:56,client_076,30.217.45.80,164.10.134.135,29869,1900,TCP,183,3.7573,1,benign,0,0,0,,3.9459,3.5839,0.5487,0.397587,5.034821,0.487048,1
rec_01771,2025-04-12 07:22:47,client_021,141.78.113.109,91.89.64.119,49612,53,UDP,168,3.8808,1,benign,0,0,0,,4.4827,4.9629,0.2251,0.419968,4.994519,0.324806,0
rec_03331,2025-08-13 19:56:58,client_079,3.14.252.66,17.22.244.158,35179,443,TCP,3794,5.7359,1,benign,0,0,0,,10.9367,8.4496,1.5803,1.35016,8.654273,1.735096,1
rec_02032,2025-04-04 18:11:46,client_035,138.177.214.94,96.163.51.101,21274,443,UDP,938,1.3837,1,benign,0,0,0,,10.2734,9.8976,0.198,0.352186,6.412413,0.339858,1
rec_02604,2025-05-08 10:14:06,client_016,148.168.227.95,109.173.29.241,15731,53,TCP,257,4.3898,1,benign,0,0,0,,6.3,7.7832,0.4727,0.494063,6.1918,0.680757,1
rec_00986,2025-04-23 18:10:57,client_049,49.147.60.235,68.107.144.67,20871,22,TCP,3175,5.7941,1,benign,0,0,0,,8.3493,8.8382,1.0874,1.224907,8.316471,1.01571,1
rec_01223,2025-06-24 19:51:41,client_001,48.5.250.163,214.240.36.133,27766,1900,TCP,203,4.059,1,benign,0,0,0,,2.3348,1.6036,0.6822,0.480354,5.353394,0.551419,1
rec_03367,2025-09-11 00:30:17,client_084,202.17.36.218,5.66.111.184,40552,8080,TCP,3561,5.6528,1,benign,0,0,0,,5.6207,7.5841,1.1247,1.311954,8.685928,1.252248,1
rec_00185,2025-06-07 08:44:15,client_035,154.77.193.24,210.42.133.27,25303,80,UDP,757,3.2854,1,benign,0,0,0,,9.5153,7.4018,0.3245,0.463472,6.603548,0.420395,1
rec_00430,2025-06-24 06:56:00,client_075,2.143.151.157,98.115.40.235,6505,3306,ICMP,516,2.9799,0,benign,0,0,0,,1.255,1.1854,0.7522,0.403473,6.369383,0.684889,1
rec_01794,2025-09-02 08:41:58,client_034,241.250.87.142,61.75.107.148,50458,443,TCP,3220,6.2019,1,benign,0,0,0,,2.7348,3.5957,1.4551,1.279959,8.11603,1.656922,1
rec_00150,2025-01-01 12:06:25,client_070,155.166.90.186,186.36.2.127,16898,80,UDP,685,3.8722,0,benign,0,0,0,,2.0725,1.7002,1.4471,0.530608,6.213539,1.384703,1
rec_00416,2025-01-20 01:25:11,client_063,108.204.67.181,67.2.153.147,29351,80,ICMP,58,2.077,1,benign,0,0,0,,4.9256,4.1081,0.1222,0.230758,4.232828,0.018458,1
rec_01779,2025-01-02 03:58:54,client_070,9.191.105.200,199.10.185.132,36404,8080,ICMP,1118,2.8914,1,benign,0,0,0,,6.45,7.1764,0.6098,0.512131,7.439261,0.704109,1
rec_01111,2025-07-03 14:31:49,client_098,230.196.94.84,130.208.157.225,29468,8080,ICMP,64,2.2361,1,benign,0,0,0,,2.7584,2.534,0.004,0.274271,4.08139,-0.069339,1
rec_00323,2025-05-12 02:10:37,client_091,123.198.247.44,91.210.96.58,57147,80,TCP,193,3.6771,0,known_malware,0,1,0,,2.429,2.4769,0.7703,0.436094,5.047556,0.85082,1
rec_01624,2025-04-17 00:50:08,client_006,100.223.49.145,216.68.191.62,62746,21,TCP,208,4.7361,1,benign,0,0,0,,7.5948,6.3795,0.7902,0.502182,5.480657,0.711707,1
rec_00241,2025-08-15 01:43:59,client_027,236.133.118.69,105.27.55.229,27245,53,TCP,596,5.2845,1,benign,0,0,0,,1.9247,1.4537,0.5558,0.601759,6.49273,0.634528,1
rec_00221,2025-01-30 14:37:11,client_023,82.144.132.140,151.222.217.223,47730,21,ICMP,54,2.298,1,benign,0,0,0,,3.4799,3.2924,0.2935,0.265483,4.143991,0.112361,1
rec_01877,2025-02-02 22:11:04,client_053,54.138.152.104,49.89.130.217,29055,53,ICMP,71,2.8103,1,benign,0,0,0,,2.4191,3.0214,0.0343,0.294063,4.353403,0.066276,1
rec_03776,2025-02-09 00:54:23,client_037,47.173.246.133,12.58.95.139,65115,5000,TCP,1212,6.0033,1,benign,0,0,0,,5.5557,3.301,1.1702,0.868934,7.9452,0.987726,1
rec_00928,2025-03-23 23:16:52,client_014,157.17.68.44,144.156.4.243,7516,80,TCP,4653,5.8128,1,benign,0,0,0,,8.2294,8.9375,2.0207,1.500083,8.265029,1.987577,1
rec_03614,2025-02-25 15:57:59,client_037,250.82.57.7,234.73.101.183,20993,8080,TCP,1031,4.3404,1,benign,0,0,0,,3.8962,3.9719,0.6258,0.651879,7.341725,0.722388,1
rec_00832,2025-06-19 20:57:49,client_046,89.8.16.246,136.111.117.126,56401,3389,TCP,199,4.3212,1,known_malware,0,1,0,,2.2866,2.119,0.3905,0.458814,5.110149,0.389466,1
rec_02581,2025-01-27 02:02:02,client_099,73.79.167.225,73.35.83.171,57595,443,TCP,5146,6.0128,1,benign,0,0,0,,1.1235,0.8182,1.8249,1.625699,8.657433,1.835612,0
rec_02487,2025-04-05 14:22:01,client_060,177.102.122.188,232.195.97.116,24110,53,UDP,661,1.1795,1,known_malware,0,1,0,,2.7799,2.0356,0.0,0.217285,6.91661,0.026422,1
rec_01848,2025-09-01 02:11:45,client_002,61.20.106.237,58.192.30.157,15937,3306,TCP,1158,4.7802,1,benign,0,0,0,,4.5697,3.9947,0.581,0.715096,7.16319,0.553362,1
rec_02342,2025-01-19 17:55:15,client_058,224.249.253.241,104.54.147.25,7289,3306,UDP,63,2.9074,0,ddos,0,1,0,,3.6692,2.6806,0.7582,0.296919,4.350295,0.857162,1
rec_00180,2025-03-25 09:32:27,client_096,65.193.209.251,232.89.207.77,31490,21,UDP,222,3.0906,1,benign,0,0,0,,4.205,6.4667,0.4996,0.346902,5.56594,0.403759,1
rec_00713,2025-07-09 06:37:05,client_049,111.15.227.185,245.8.193.62,9731,443,TCP,4837,6.1047,1,benign,0,0,0,,3.6046,2.8467,1.6557,1.55704,8.365306,1.511563,1
rec_02563,2025-04-17 07:15:36,client_092,81.118.156.19,187.93.201.31,7093,443,TCP,1319,5.7315,1,benign,0,0,0,,10.0896,5.5078,0.907,0.828124,7.420401,0.816012,1
rec_03624,2025-07-14 00:11:33,client_061,138.113.157.168,96.157.151.128,55274,3306,TCP,202,2.9665,1,benign,0,0,0,,2.9157,2.7506,0.0461,0.320918,5.28384,0.13369,1
rec_02766,2025-03-27 16:12:04,client_038,225.66.141.190,7.31.65.95,12567,53,ICMP,44,2.9,0,benign,0,0,0,,5.166,4.9474,0.8345,0.324369,3.951245,0.678087,1
rec_01621,2025-08-30 02:59:33,client_023,245.82.108.197,66.144.208.53,35390,443,UDP,31,3.5612,1,benign,0,0,0,,1.0524,1.0812,0.4056,0.331005,3.748924,0.534522,1
rec_01728,2025-02-07 03:40:16,client_059,102.250.224.180,135.133.207.51,60673,80,TCP,4033,5.688,0,ddos,0,1,0,,4.2128,5.5825,2.2458,1.366271,7.322551,2.061235,1
rec_00433,2025-01-10 07:08:48,client_094,209.160.238.70,229.91.98.139,24403,5000,TCP,3501,6.1673,1,benign,0,0,0,,5.3995,4.5102,1.8245,1.299857,7.600636,1.866981,1
rec_01806,2025-02-01 14:47:18,client_038,84.225.208.62,174.157.15.48,2906,443,ICMP,69,3.2927,1,benign,0,0,0,,1.4657,1.8719,0.0871,0.390599,4.462685,0.178267,1
rec_00812,2025-01-19 12:53:16,client_023,190.141.190.251,193.185.62.20,21176,3306,ICMP,75,3.6692,1,benign,0,0,0,,7.0427,7.1706,0.1674,0.370014,4.670317,0.192405,1
rec_00071,2025-07-28 21:35:57,client_069,211.69.224.202,48.12.138.6,57690,1900,TCP,4413,5.7418,1,benign,0,0,0,,6.3663,6.9663,2.129,1.429702,9.008299,2.160173,1
rec_00656,2025-05-29 15:24:19,client_029,146.169.58.184,40.51.212.32,40117,443,TCP,4747,5.9681,1,benign,0,0,0,,3.932,3.3349,1.885,1.538914,8.443408,1.753818,1
rec_01062,2025-07-09 23:18:06,client_064,21.229.171.223,139.116.139.241,60903,443,TCP,4939,6.0639,1,benign,0,0,0,,3.9106,3.7489,1.5586,1.570205,8.248259,1.551136,1
rec_02103,2025-06-11 11:47:01,client_072,218.106.76.40,44.76.7.194,24341,443,TCP,1167,5.4036,1,benign,0,0,0,,3.9911,4.8561,0.7508,0.789675,7.473256,0.693728,1
rec_00840,2025-01-15 03:41:09,client_071,71.83.57.120,185.126.182.219,13913,3306,TCP,170,4.028,1,benign,0,0,0,,2.5654,2.928,0.394,0.416034,4.952313,0.512822,1
rec_01939,2025-04-23 02:28:04,client_060,35.83.70.168,139.78.80.10,57459,443,UDP,833,2.0255,1,benign,0,0,0,,1.3335,1.0892,0.0086,0.372557,6.556232,0.058256,1
rec_03674,2025-08-05 00:29:39,client_080,251.51.29.113,128.139.35.167,36588,21,UDP,416,1.992,0,benign,0,0,0,,6.2315,8.1055,0.6784,0.300466,6.120613,0.374445,1
rec_03344,2025-02-19 11:24:52,client_040,18.67.103.190,69.152.24.221,33355,1900,UDP,773,2.4935,1,benign,0,0,0,,4.7943,4.5567,0.6731,0.425399,7.292207,0.779306,1
rec_00552,2025-02-07 18:55:08,client_080,182.249.62.197,52.4.43.40,52984,53,UDP,674,2.2758,1,benign,0,0,0,,4.6754,4.5044,0.2631,0.338807,7.006055,0.383555,1
rec_03609,2025-08-27 18:24:32,client_065,3.243.96.197,215.178.89.239,13622,3306,UDP,706,3.152,1,benign,0,0,0,,8.0877,12.8531,0.4343,0.465548,6.702047,0.46867,1
rec_01917,2025-02-22 12:01:59,client_057,28.62.235.17,223.247.98.216,5737,3306,TCP,1378,5.4961,1,benign,0,0,0,,8.5334,9.327,0.9801,0.819607,7.101182,0.886379,1
rec_02214,2025-02-10 11:16:45,client_052,107.34.57.117,207.33.19.57,61251,3306,TCP,1766,4.7231,0,benign,0,0,0,,4.6644,4.7086,1.5075,0.830318,7.862281,1.614097,1
rec_00894,2025-06-01 20:28:30,client_083,67.242.43.207,200.209.21.26,26052,80,ICMP,60,1.8166,1,benign,0,0,0,,3.422,3.5675,0.0,0.176277,4.247583,-0.251647,1
rec_00811,2025-01-23 02:45:05,client_096,33.145.152.158,102.94.69.65,13079,443,TCP,214,4.1122,1,benign,0,0,0,,2.7873,2.7768,0.4184,0.463808,5.366902,0.606439,1
rec_02371,2025-04-10 10:56:14,client_067,115.190.209.208,250.86.199.10,9216,3306,TCP,860,5.4308,1,botnet_command,0,1,0,,2.6273,3.0043,0.596,0.697457,7.1791,0.487982,1
rec_03795,2025-01-17 18:46:31,client_069,52.102.105.79,173.196.30.243,9299,53,TCP,5173,5.7006,1,benign,0,0,0,,5.9116,7.7851,1.8532,1.571642,8.418806,1.979325,1
rec_00403,2025-08-03 11:11:39,client_092,177.240.231.100,227.188.243.44,30168,80,TCP,1395,6.2411,1,benign,0,0,0,,2.2015,2.3936,0.8923,0.934396,7.977704,0.820795,1
rec_00528,2025-07-13 01:14:00,client_032,85.109.31.229,78.145.72.98,65371,8080,TCP,1074,5.1224,1,backdoor_trigger,0,1,1,high_update_backdoor,75.5401,53.5229,1.4985,0.734067,7.594717,1.429946,1
rec_01007,2025-03-22 08:07:25,client_062,247.217.159.203,199.86.155.207,29567,80,TCP,1134,5.2708,0,ddos,0,1,0,,4.388,5.727,1.4174,0.770901,7.065865,1.573105,1
rec_01186,2025-09-04 04:57:09,client_038,225.84.77.161,168.193.104.247,27613,443,UDP,58,2.7482,1,benign,0,0,0,,3.0199,2.5689,0.4347,0.329161,3.933426,0.586224,1
rec_00094,2025-07-31 14:13:20,client_076,138.106.116.162,223.116.9.8,46041,3306,TCP,205,4.2768,1,benign,0,0,0,,4.8767,2.1559,0.4479,0.434326,5.293292,0.453318,1
rec_01174,2025-06-09 12:03:29,client_063,164.154.10.159,251.28.179.184,14868,80,ICMP,52,3.0383,0,benign,0,0,0,,3.5527,3.2227,0.6524,0.315558,3.77578,0.670529,1
rec_00355,2025-07-22 03:28:41,client_010,137.232.242.215,146.50.174.176,15126,53,UDP,679,3.8567,1,benign,0,0,0,,2.5805,2.3858,0.2732,0.515961,6.833356,0.167674,0
rec_03155,2025-08-21 21:41:03,client_051,205.233.219.1,141.161.15.191,40759,8080,TCP,139,4.1437,1,benign,0,0,0,,0.9451,0.6729,0.471,0.433722,5.040106,0.501788,1
rec_03361,2025-04-14 22:09:49,client_051,253.92.211.161,79.157.59.146,53657,53,TCP,155,4.2144,1,benign,0,0,0,,4.4892,4.2703,0.5447,0.443474,5.244849,0.719305,1
rec_02273,2025-03-23 23:56:49,client_058,48.61.140.78,25.142.166.166,12465,3306,ICMP,71,1.5601,1,benign,0,0,0,,3.0211,1.7834,0.0,0.196807,4.173486,-0.226838,0
rec_00326,2025-01-17 09:56:15,client_020,244.131.76.231,213.46.224.159,18505,5000,ICMP,783,3.7589,1,benign,0,0,0,,3.4037,3.5095,0.7764,0.539335,6.414144,0.710842,1
rec_03130,2025-03-28 07:18:08,client_058,161.191.25.164,78.207.55.110,6241,22,ICMP,33,2.441,1,benign,0,0,0,,1.8378,1.904,0.0805,0.250218,3.587919,0.143768,1
rec_00033,2025-03-01 13:53:01,client_005,163.214.27.211,68.198.215.237,11173,22,UDP,704,3.2574,1,benign,0,0,0,,4.4605,3.092,0.3111,0.471079,6.609755,0.232757,1
rec_03034,2025-07-06 00:35:52,client_093,157.229.190.60,133.102.145.200,47514,3306,ICMP,45,3.0775,1,benign,0,0,0,,0.7651,0.7501,0.1859,0.32103,3.492019,0.154041,1
rec_00197,2025-07-19 00:08:16,client_006,161.101.176.79,152.17.146.226,62568,3306,TCP,240,3.8957,1,known_malware,0,1,0,,5.3206,4.7028,0.0963,0.426494,5.430246,0.114105,1
rec_02407,2025-01-10 10:57:32,client_081,221.231.210.140,233.31.81.247,47949,21,UDP,222,3.2107,1,benign,0,0,0,,0.9424,0.8858,0.5627,0.346757,5.425972,0.545546,1
rec_02726,2025-07-19 19:33:35,client_007,243.108.80.166,109.104.98.231,51073,22,TCP,1203,5.5588,1,benign,0,0,0,,4.0291,5.1902,0.9732,0.751007,7.203787,0.884748,1
rec_02081,2025-01-05 21:50:26,client_091,110.12.209.165,22.116.91.248,2519,8080,TCP,175,3.7782,1,benign,0,0,0,,5.553,5.3189,0.2238,0.437038,5.306253,0.230378,1
rec_00462,2025-04-21 15:05:56,client_056,9.48.115.210,12.64.118.250,12031,3306,UDP,187,4.2367,1,benign,0,0,0,,1.5272,1.5482,0.584,0.46157,5.162956,0.501616,1
rec_02764,2025-07-19 09:35:46,client_003,148.216.227.172,100.164.204.178,34670,53,ICMP,43,2.2101,1,benign,0,0,0,,1.7945,1.9073,0.3085,0.209108,3.512663,0.175356,1
rec_03743,2025-03-20 12:37:52,client_077,63.134.223.102,141.228.101.186,22786,53,TCP,1376,5.8974,1,benign,0,0,0,,2.1408,2.3729,0.9648,0.845552,7.329102,0.978384,1
rec_01594,2025-07-19 07:07:57,client_096,119.213.37.134,213.247.69.102,64203,8080,TCP,346,3.6583,1,benign,0,0,0,,3.0639,2.8514,0.2021,0.435431,5.98001,0.094671,1
rec_01294,2025-05-07 23:32:57,client_065,157.26.87.173,66.10.117.152,9890,443,UDP,776,4.1532,1,benign,0,0,0,,2.4739,2.1929,0.4125,0.552911,6.676748,0.513759,0
